n_games,playerScoreProRound,playerTotalScore,PlayedTimeBeforeDeath,TotalPlayedTimeBeforeDeath,MeanScore,DeviationFromScore,TimeOverScore,TotalNumberofDeath,TimeOverDeath,Epsilon
51,3,27,0.7809958457946777,80.1826684474945,0.5294117647058824,45.4656,2.969728461018315,51,1.5722091852449904,30
52,1,28,1.5595948696136475,81.74226331710815,0.5384615384615384,50.88581314878893,2.919366547039577,52,1.57196660225208,29
53,0,28,1.0935492515563965,82.83581256866455,0.5283018867924528,56.54844674556213,2.9584218774523054,53,1.5629398597861237,28
54,3,31,1.6009323596954346,84.43674492835999,0.5740740740740741,61.75151299394802,2.7237659654309674,54,1.563643424599259,27
55,1,32,0.8486974239349365,85.28544235229492,0.5818181818181818,68.66666666666666,2.6651700735092163,55,1.5506444064053622,26
56,1,33,1.609724760055542,86.89516711235046,0.5892857142857143,75.79834710743802,2.6331868821924385,56,1.551699412720544,25
57,3,36,1.9795210361480713,88.87468814849854,0.631578947368421,83.14508928571429,2.4687413374582925,57,1.5592050552368164,24
58,2,38,1.6260015964508057,90.50068974494934,0.6551724137931034,92.35149276700523,2.3815970985512984,58,1.560356719740506,23
59,0,38,0.6402585506439209,91.14094829559326,0.6440677966101694,102.60315101070154,2.39844600777877,59,1.54476183551853,22
60,4,42,4.785175800323486,95.92612409591675,0.7,112.11261131858663,2.2839553356170654,60,1.5987687349319457,21
61,2,44,3.360597848892212,99.28672194480896,0.7213114754098361,124.5475,2.256516407836567,61,1.6276511794230977,20
62,3,47,4.288963556289673,103.57568550109863,0.7580645161290323,138.05159903251814,2.2037379893850773,62,1.670575572598365,19
63,1,48,0.9669809341430664,104.5426664352417,0.7619047619047619,153.67741935483872,2.177972217400869,63,1.6594074037339952,18
64,2,50,3.370647668838501,107.9133141040802,0.78125,169.29604434366343,2.158266282081604,64,1.6861455328762531,17
65,1,51,3.0612540245056152,110.97456812858582,0.7846153846153846,185.9912109375,2.175971924089918,65,1.7073010481320894,16
66,5,56,4.03455924987793,115.00912737846375,0.8484848484848485,202.65940828402367,2.0537344174725667,66,1.7425625360373296,15
67,5,61,2.354132890701294,117.36326026916504,0.9104477611940298,223.88820018365476,1.9239878732650006,67,1.7516904517785827,14
68,4,65,4.487322568893433,121.85058283805847,0.9558823529411765,249.97950545778576,1.8746243513547458,68,1.791920335853801,13
69,1,66,1.5284531116485596,123.37903594970703,0.9565217391304348,279.79130622837374,1.8693793325713186,69,1.7881019702856091,12
70,1,67,0.6600456237792969,124.03908157348633,0.9571428571428572,309.1497584541063,1.8513295757236765,70,1.7719868796212332,11
71,1,68,2.048050880432129,126.08713245391846,0.9577464788732394,338.08489795918376,1.8542225360870361,71,1.775875104984767,10
72,11,79,6.848212003707886,132.93534445762634,1.0972222222222223,366.62487601666334,1.68272587921046,72,1.8463242285781436,9
73,10,89,5.992610692977905,138.92795515060425,1.2191780821917808,409.6649305555555,1.560988260119149,73,1.9031226732959485,8
74,6,95,6.600805282592773,145.52876043319702,1.2837837837837838,467.3728654531808,1.531881688770495,74,1.9666048707188786,7
75,8,103,7.222517251968384,152.7512776851654,1.3733333333333333,533.1141344046749,1.4830221134482078,75,2.036683702468872,6
76,3,106,4.420898199081421,157.17217588424683,1.394736842105263,611.314488888889,1.4827563762664795,76,2.0680549458453528,5
77,10,116,9.901660442352295,167.07383632659912,1.5064935064935066,691.5484764542934,1.4402916924706821,77,2.169790082163625,4
78,13,129,3.6229476928710938,170.69678401947021,1.6538461538461537,789.57733175915,1.323230883871862,78,2.188420307941926,3
79,18,147,9.660266876220703,180.35705089569092,1.860759493670886,914.1980604865222,1.2269187135761286,79,2.283000644249252,2
80,22,169,9.060436487197876,189.4174873828888,2.1125,1082.1743310366928,1.1208135348099928,80,2.36771859228611,1
81,19,188,7.875676393508911,197.2931637763977,2.3209876543209877,1311.7673437500002,1.0494317222148815,81,2.435718071313552,0
82,15,203,6.3650853633880615,203.65824913978577,2.475609756097561,1598.377991159884,1.0032426065999298,82,2.483637184631534,0
